RowNumber,CustomerId,Surname,credit_score,age,balance,estimated_salary,client_risk,random_id,timestamp,junk_feature
1008,b9ffcd89-8ce1-4664-a734-75762299d19a,Williams,681,27,63364.5,18107.06,1,51280242,2023-04-13 08:13:12,1.1094
1009,aa9008c9-cf64-4f6c-841f-ae93f8b421d5,Garcia,702,67,11390.37,52433.81,1,52100150,2023-05-30 03:26:24,-1.8
1010,b5ac9705-2fe0-4f74-af9a-6b62d12a9e50,Jones,623,53,51989.14,110776.15,0,70993499,2023-07-09 07:54:17,1.0706
1011,470f1f90-8e14-41ee-a37a-3b06c9d2f4a2,Davis,715,30,58091.74,21072.49,1,30403373,2023-02-19 08:08:52,-0.7217
1012,ff7a894a-529c-4c1f-9f36-2f981812fc1d,Jones,659,46,14732.12,136480.98,0,67078105,2023-11-03 20:03:05,-1.6539
1013,2707e053-6a79-4dc2-aa6b-91339494794b,Garcia,753,55,45884.29,58115.38,0,88629818,2023-01-07 01:58:20,-2.0014
1014,e7be668d-13da-44d0-8621-6e11db2a85f9,Smith,615,70,57738.24,33012.97,1,96744902,2023-12-28 09:39:13,-0.4762
1015,9400c9e9-26ab-4790-9247-602cb5f3e92b,Williams,736,30,31425.46,58559.73,0,25188072,2023-06-16 10:07:32,0.7111
1016,1feebe7f-160a-44fa-b424-a3c5dc280833,Williams,659,43,20527.65,30835.82,1,22199480,2023-09-09 01:32:04,-1.3899
1017,0a996053-a1e2-47ed-aa95-881c7f149c1d,Wilson,617,37,48267.69,109222.72,0,45263251,2023-02-09 04:01:29,-1.2356
1018,03e0c5fb-556b-49a5-8026-5490d3834c35,Wilson,625,22,190489.31,39503.71,2,70321448,2023-01-11 15:37:03,-0.4942
1019,195cca6d-3ebc-4f8c-a7ed-8c9e67e21777,Williams,633,37,27829.64,138887.57,0,63808878,2023-08-07 00:42:02,0.8076
1020,0dfb54f0-3d6f-480b-a887-110cacfa648e,Miller,671,31,24857.24,42777.5,1,18123846,2023-04-16 18:06:08,0.9325
1021,916ca828-2697-4787-a17e-9eb362dac84e,Rodriguez,676,62,31205.96,64793.62,1,19934117,2023-11-27 05:20:03,0.1399
1022,c4a139ec-f660-4eab-afae-23782e6ade65,Miller,621,31,3963.98,365660.91,0,60839944,2023-09-01 21:01:26,0.9834
1023,f830151d-82f2-434c-8304-3919e9d39a78,Jones,648,25,40278.1,9537.34,2,87994405,2023-06-28 10:31:42,0.6876
1024,91dee5ee-c486-4507-9fe8-dc164e3a2e67,Smith,757,65,19926.76,80074.32,0,21555696,2023-02-12 00:34:40,-0.417
1025,9a453383-9c99-4abc-a3e6-02e3a21e944e,Johnson,736,30,6472.54,8970.74,1,58957592,2023-07-28 11:39:39,0.9095
1026,90125e53-fdf5-4428-ab8b-a4c050078bfa,Smith,671,41,31392.02,109531.27,0,91737764,2023-05-27 07:47:25,-1.2842
1027,8c5ccdc9-8ba8-46f7-ba9c-09bc027c41ff,Miller,651,32,169.49,54447.8,1,20887857,2023-04-06 15:33:45,0.4865
1028,8aed2e07-8864-4353-865f-1b3ff285be41,Williams,656,68,25690.27,166991.87,0,68307931,2023-09-30 00:39:10,-1.166
1029,ebe00d1a-eae1-4033-b370-024e9f1e9b7f,Jones,680,18,5587.67,120575.5,0,83659079,2023-11-04 06:15:29,0.1428
1030,1061c390-7ee3-4799-8e66-e51e85aca8ca,Miller,598,39,1229.63,4669.39,2,59331369,2023-08-08 13:08:41,1.2186
1031,9c1c3414-8383-472c-bd52-be425c5e9ec0,Jones,637,51,86998.7,8861.47,2,54636106,2023-02-20 17:28:15,0.2132
1032,42d8506c-6b8b-480c-a2bc-eaff0899a8c5,Williams,566,67,123995.24,55153.34,2,61974010,2023-11-30 08:41:35,-0.0126
1033,3ef445c2-29bc-4aaa-846b-23f3d9bb5cb7,Johnson,669,68,11639.16,43827.85,1,20057502,2023-05-22 08:20:17,0.226
1034,ffff572a-4cfa-41cb-b156-d9660b2c79ca,Johnson,682,57,38750.22,11076.14,1,68826081,2023-03-04 23:47:59,0.6633
1035,3e9ded6a-5fdd-40da-a50e-a5795d41b3ec,Johnson,625,20,16283.61,8311.55,1,60123693,2023-04-30 10:43:28,2.134
1036,59b127cf-9cd1-454b-b912-2b7f1e2398be,Wilson,728,43,34019.19,49805.51,1,10203491,2023-01-11 20:29:05,0.6524
1037,6f2b79b5-c8a7-4557-a0ef-5c28a86751a0,Brown,588,31,28691.05,3009.52,2,95977712,2023-10-18 14:54:42,-0.5025
1038,d04292c0-e53b-41c0-964b-b0088db04990,Brown,576,58,15670.58,124162.49,0,31077849,2023-02-26 04:45:35,-0.2087
1039,19b1755c-a048-4bd3-b6e4-ed6bf811fdb0,Williams,661,25,60264.28,98729.69,0,45274216,2023-06-04 18:27:15,-0.9011
1040,224805cf-5014-400b-b944-dfaf51f70f9d,Garcia,702,66,6761.84,92330.37,0,18260788,2023-07-11 18:20:00,-1.2392
1041,940b0093-7a4c-48ff-a2f1-fce54e442246,Brown,734,33,2726.65,967.59,1,70800127,2023-01-26 22:58:40,-2.4325
1042,87140558-8945-4892-a901-533b98a5785e,Garcia,627,59,72980.99,2928.79,2,13534101,2023-01-26 20:12:06,-0.4616
1043,46b84122-cfa7-4b04-bbe7-1227746683db,Williams,703,38,54820.24,47889.02,1,30149689,2023-10-20 01:02:44,-1.4044
1044,5506775f-3ef7-4d0b-b393-136f5b56f70c,Johnson,648,27,34510.19,311375.19,0,50598875,2023-04-20 10:21:00,0.0971
1045,1501a3a0-1d39-4666-b5bb-b969d3a31c45,Garcia,641,42,31535.83,25141.86,1,88641726,2023-02-15 11:04:38,-0.5095
1046,f273e45a-57a1-4a49-babe-fc6576fef82e,Miller,694,55,34399.16,25329.96,1,63844451,2023-02-03 04:53:13,-1.0855
1047,1b0d52d6-6adc-4aa2-b71f-85d5706bedb4,Johnson,682,39,28725.92,8651.48,1,15512001,2023-03-24 19:32:56,-2.1035
1048,26e1d2d1-f499-44f3-a576-50ad6b2720e9,Davis,571,66,24952.45,67313.31,1,23297965,2023-06-18 22:02:21,-0.3493
1049,59413b70-33f0-425d-b2fb-70073cdef6fe,Wilson,723,65,34626.43,62422.3,0,36358247,2023-06-08 11:57:52,-1.7524
1050,2d68f32e-d099-4b2b-b7a6-9a037ac9d243,Davis,719,64,37593.42,6409.86,1,83937543,2023-03-21 05:36:39,0.7062
1051,de877030-5fb3-4794-bb29-0ff759f1e96d,Brown,618,63,58866.92,37800.46,1,98655768,2023-01-01 09:15:21,0.2549
1052,624ecf6f-2e1c-42e5-b945-0655832c5216,Garcia,669,21,62102.28,65990.27,1,89346126,2023-05-25 11:07:10,-0.2268
1053,f425dd42-1c3f-4bb8-8ea6-b46cd042b720,Williams,674,21,23710.95,40815.77,1,42298333,2023-10-04 17:52:35,1.4507
1054,edcf4f3f-3dde-42ca-b0c5-0eee3fae9763,Rodriguez,663,47,26682.59,67318.43,1,77264814,2023-04-13 04:21:44,0.0098
1055,b009ae20-d06f-4f33-b396-f882e8ea1b75,Jones,622,19,23396.06,101657.41,0,61863969,2023-03-01 08:23:08,0.3861
1056,8d7b619a-db8e-4f58-bc4c-8e3071ce5cdb,Williams,616,46,38451.3,69466.48,1,51535555,2023-05-29 14:28:01,0.6875
1057,a5e5b976-78af-44cb-b4c4-78334b4e6fa7,Rodriguez,648,60,30197.65,57444.62,1,17140504,2023-06-05 14:57:44,-0.5169
1058,d0d804ca-2aa5-4191-a086-30acd4d51261,Johnson,708,53,110180.66,115280.77,0,97879880,2023-01-04 00:19:51,-0.5113
1059,f876fc3e-35af-4a9a-ab34-9c2d56527a5c,Johnson,677,38,59595.83,138509.29,0,59351254,2023-03-19 00:50:37,0.0414
1060,a1296365-b899-43bf-884c-a598f9a90cef,Williams,631,38,114461.92,29548.35,2,75110845,2023-01-22 20:15:33,-1.3465
1061,c9f5d2cf-7075-4293-9118-84242a27dd36,Rodriguez,688,65,61745.14,11415.17,2,29037695,2023-03-08 21:58:44,1.7853
1062,4e1196d9-b623-4d95-a235-6cd2b865f3b8,Wilson,507,38,177009.44,102178.91,2,87731063,2023-08-02 21:23:30,0.1608
1063,cc30a582-d9ef-4e44-b433-a83cbf9f1b03,Williams,707,21,50493.93,14429.07,1,76614649,2023-06-08 23:48:31,-0.2009
1064,af312807-a91f-4bbe-b4c8-71c5001d086a,Jones,563,18,165590.88,158662.85,1,37190987,2023-08-30 02:55:28,2.0855
1065,25c52a07-77ae-405e-9c40-1a8a78a0ba16,Rodriguez,631,43,8608.85,1388.62,1,85808461,2023-02-28 19:30:54,-1.1015
1066,d3b5c7ac-81c4-407c-840a-bae00a91d34d,Wilson,594,68,2695.24,152504.76,0,55639814,2023-12-30 12:06:29,1.5362
1067,8c602548-febd-4ded-8999-a32e66c0dd54,Miller,585,19,43270.99,53376.44,1,86526341,2023-04-04 10:08:41,0.8133
1068,331f1ed6-b0ff-4cc9-a307-e4325685e3dc,Miller,708,26,205199.16,89430.56,1,51840598,2023-06-17 14:11:48,1.117
1069,4e3b9991-3d80-478b-a432-24a69c89efb9,Smith,626,62,27030.34,30498.99,1,53062197,2023-10-07 13:57:27,-0.1755
1070,bd6b0f05-ec57-4c95-829c-f311290426d1,Johnson,667,35,11915.61,287607.87,0,51994834,2023-06-01 00:12:48,0.0559
1071,0b932c93-aecf-41f1-aabc-e52d7983403f,Rodriguez,647,65,36859.28,15491.39,1,17493844,2023-04-09 04:08:44,-0.3433
1072,b89915ff-cf40-48f4-a081-5742906e64a4,Garcia,673,65,52319.78,18419.53,1,98493230,2023-10-09 10:19:05,0.9963
1073,06111fe4-86ba-4ca1-ad47-591d02509de5,Johnson,653,59,18929.87,3168.14,1,97807250,2023-11-21 22:18:55,0.3917
1074,46c8c9db-cfbc-4810-b0d6-1a142109a584,Jones,585,58,62722.86,169279.88,0,35663009,2023-08-21 21:51:44,-0.5585
1075,61992e84-03c4-4c4d-97db-db2bc2061dba,Jones,699,28,184673.51,36531.59,2,94471978,2023-12-13 08:02:46,-0.5126
1076,b317ebf2-4665-4205-b4a0-6f3274f17ee5,Miller,625,42,113633.42,67408.57,1,38874380,2023-08-04 23:09:34,-0.0148
1077,f418ec1d-b7c9-42b1-851b-95cbbf0002cb,Brown,572,43,17236.29,69777.67,1,11517987,2023-03-03 13:12:23,-0.3323
1078,010f9215-9301-473b-93d7-fe5e6d7ce02d,Rodriguez,628,53,19779.97,124527.97,0,40456631,2023-03-08 13:45:17,1.4418
1079,dceeba8e-046a-4be0-815c-6f71892069d5,Jones,725,59,23224.24,65604.1,0,93782253,2023-01-10 19:46:35,0.8082
1080,5b8948ce-d519-45b2-8976-f3a32ba2e89c,Brown,692,52,25089.39,49535.08,1,56126161,2023-09-12 05:53:52,0.8061
1081,4f034e44-6c96-4988-ac29-6a580684b03f,Rodriguez,632,55,5285.78,74338.4,0,41205482,2023-10-30 15:20:24,0.2339
1082,5d674582-6e5b-4a7a-bbf0-82278fcbdf51,Johnson,632,20,71766.42,83411.11,1,56073610,2023-06-04 23:57:10,-0.8265
1083,203612fb-f7c9-4101-bfaa-0f77ac7880d7,Johnson,633,58,22733.23,12342.38,1,80777520,2023-07-11 03:02:30,0.6961
1084,6a597ed0-e75a-4ca2-96ee-87843a03a6a0,Williams,753,52,105938.22,6969.59,2,25117232,2023-01-22 00:31:19,-2.0982
1085,42030593-d0d8-456c-a69b-2d510ff57d9a,Wilson,669,67,130824.14,4667.89,2,19815937,2023-10-28 11:50:05,0.1741
1086,a57b466e-d48d-4636-a18a-86b6d8673a26,Brown,671,57,1236.74,28109.42,1,67907485,2023-07-17 21:59:35,-0.8121
1087,d211a1b9-7d19-4df2-9f15-a92583ad2c69,Wilson,701,39,223283.76,41349.34,2,60877036,2023-09-23 15:35:08,-0.8891
1088,44a28d6c-8f12-4caf-b424-7b0ad45bc7b9,Rodriguez,661,25,61897.64,57372.09,1,31083685,2023-09-03 23:09:52,-0.4633
1089,266f4281-1909-48d7-9271-19e16de3986d,Jones,637,32,36739.33,190254.47,0,39977930,2023-03-30 20:54:27,-0.0839
1090,f25b5209-d1dd-42a7-bf01-ee7d957fbf4f,Johnson,640,62,24676.11,24099.25,1,96651218,2023-07-31 15:35:24,-0.0234
1091,2154146d-1570-4cdb-964f-3a52d56dd4e0,Williams,646,24,36544.34,85845.89,0,61077340,2023-02-09 03:49:16,0.7902
1092,6df1e5bd-76ed-4158-bd37-5923890dde2b,Garcia,648,36,19624.34,45474.92,1,84132304,2023-07-25 12:35:54,-0.1739
1093,a4e4ce32-ed2d-4045-8a59-2fa8400b6925,Miller,686,57,48734.12,14914.6,1,69518727,2023-06-27 00:25:12,-0.1017
1094,6c55835e-1005-4184-8ca7-541b835f4f70,Jones,652,59,4879.55,57318.33,1,85173964,2023-07-29 12:44:02,-1.3956
1095,05ccdd62-b267-4456-870e-35975a80b65c,Brown,686,34,48527.13,204996.05,0,29073628,2023-06-08 22:46:45,-1.2654
1096,a4054088-ece3-4cfe-b503-4d007ef2cb10,Brown,645,18,16102.97,7964.47,1,14271982,2023-04-25 13:23:47,0.2871
1097,97fc8f46-bbcd-41b1-9fe8-f52a6c55ba0b,Garcia,653,62,889.61,42468.82,1,27776266,2023-10-21 10:01:36,0.6307
1098,633630ed-f4ad-4be9-9cbc-340b1184db60,Miller,550,46,40226.93,3179.26,2,48433359,2023-10-06 17:44:50,-0.2605
1099,1b11479a-3010-4768-9ab0-5fa1fd59e74a,Jones,695,30,43190.58,23247.17,1,41520817,2023-06-15 07:43:46,0.933
1100,59395cbf-1c5d-46eb-8f6b-92469f317942,Jones,667,65,27805.88,58150.28,1,85162966,2023-11-04 21:10:23,-1.4079
1101,21f83e7c-8007-44e5-834c-0bebc661bf99,Miller,699,46,3751.6,110352.55,0,73906123,2023-08-27 06:20:46,0.3985
1102,59bc344b-755a-4bbc-8d17-50c6189e984d,Williams,505,58,111906.84,78633.03,2,30831525,2023-04-29 13:22:36,-0.8518
1103,2522c671-31f5-48d6-a915-f5f15c36d86e,Davis,754,59,47264.2,37289.43,1,60672791,2023-01-29 15:45:22,-0.9308
1104,29da5abb-5ae6-4876-9b32-7a0d08b69288,Smith,643,23,6148.7,143960.8,0,94794462,2023-11-20 18:53:30,-0.7649
1105,57647663-d0fe-419a-a1ff-e159bd548ff8,Jones,705,22,35762.54,21633.63,1,84443429,2023-09-19 14:42:13,-0.0808
1106,cbc5dced-277f-4b27-82b3-ebe05347fd97,Miller,598,51,34383.54,84141.38,1,89922556,2023-04-06 22:16:56,0.4389
1107,fa344a91-e1ab-4f95-9aa7-426ffa31afaa,Johnson,680,28,3115.15,38548.27,1,28375613,2023-01-06 14:02:39,0.363
1108,3ca71c52-eb01-4f2e-adfb-2937978a0c8d,Johnson,597,26,46679.44,137342.09,0,73409591,2023-04-30 20:14:30,-0.2905
1109,e36c0711-5bdf-49ba-b62c-45e32999ead0,Rodriguez,618,55,82598.07,95801.02,1,94552000,2023-04-25 23:24:06,0.6323
1110,f679e446-f1a2-4d02-8e46-1a209dc5262d,Johnson,745,57,69116.72,139043.45,0,37612249,2023-05-12 14:41:04,1.6867
1111,e24dbbbd-1fd1-42fb-bf02-8f5bac5dd0a5,Williams,640,58,11343.11,14466.83,1,81287312,2023-07-16 15:48:12,-0.1194
1112,2e3781cd-fd86-46b8-af24-9057ef33512b,Smith,660,26,99131.18,66184.41,1,54746640,2023-03-23 06:12:30,0.0948
1113,9c81f4e6-aed8-4004-a7e0-1263f8424d77,Rodriguez,693,25,20968.73,80470.86,0,35723620,2023-05-11 03:25:12,-0.6117
1114,48d099aa-4559-4eea-9a80-ac4277bcf294,Smith,674,61,146411.51,81384.16,1,81050522,2023-05-12 02:50:43,-0.392
1115,4d8a74a2-f8dc-4175-b1d9-09d8ed727b1e,Brown,657,57,3722.6,42070.82,1,75210077,2023-01-12 14:59:56,1.2483
1116,4a5fcc94-b23b-4dc1-904d-c4528494e21f,Davis,668,20,33296.91,678.86,2,37344664,2023-11-24 02:39:51,1.2587
1117,d74b7ad7-3a7d-4c65-9627-bcc24dc1ad21,Johnson,770,30,45456.37,18182.43,1,60196325,2023-07-14 11:41:31,-0.2011
1118,34ff3187-7ae1-404e-82e9-92e963e64096,Garcia,647,36,14227.69,23431.71,1,93616459,2023-05-07 19:50:24,0.4903
1119,903827cb-a0a9-478a-bd40-5c9fd0bfa03e,Garcia,660,51,73784.74,114647.43,0,54068153,2023-01-25 04:59:19,0.9205
1120,2d990871-ea42-4922-9032-592b4d4f1a5b,Williams,702,49,49294.86,110287.99,0,77857385,2023-10-01 01:01:44,-0.4465
1121,9d1d1d77-ae9a-420a-920a-d04e8b7c7e6b,Brown,705,66,913.77,6634.45,1,45383265,2023-01-18 18:10:28,-1.3059
1122,10449109-a8e1-4097-ac21-13ed4dde02a4,Davis,709,33,46871.71,179547.32,0,88330235,2023-08-06 12:20:06,0.6893
1123,17f21efc-f377-4915-b6a4-c81c83986da0,Jones,681,53,33812.36,12087.14,1,93517696,2023-08-22 18:55:38,0.8964
1124,d60cd445-7e85-4932-b71e-cde8d338f2bc,Jones,592,35,10909.62,32102.94,1,78589964,2023-08-31 09:46:49,0.7493
1125,68a16a4e-9709-4851-a9e2-a7b331664ab3,Johnson,731,31,273020.96,14536.29,2,47855156,2023-12-17 21:21:05,-0.3741
1126,c3c65c12-7edf-4b89-a2ff-9cacca13ce11,Miller,592,47,113730.11,118109.43,1,53010836,2023-08-20 02:31:44,1.5231
1127,ad0b98b4-c1a4-4d3f-bc05-760215d504ad,Brown,665,19,17301.43,83034.32,0,28573470,2023-10-24 04:09:31,0.2843
1128,1938b332-c3bc-4247-9293-7d38ab1490bd,Jones,612,30,38942.98,26173.6,1,56897980,2023-09-09 08:10:52,-1.1476
1129,1d7c148b-98c0-4490-a207-302bfb029218,Jones,646,44,19026.59,68719.34,1,95146582,2023-05-30 01:37:30,-1.5961
1130,49703edc-5353-44a0-ac5a-77e324fa50a9,Johnson,666,70,74693.03,12227.44,2,31335810,2023-07-09 05:30:29,-0.2972
1131,cf67791d-2b4e-415b-8ba2-b488c1179959,Garcia,666,69,133200.3,28904.86,2,11007004,2023-11-23 00:46:32,0.2248
1132,4208f9f1-ad1f-478d-985c-f85bd29c3f40,Smith,671,34,22222.92,28402.89,1,87632175,2023-05-07 15:25:35,-0.2879
1133,0d416db3-21d6-499d-8bca-bc7f00726137,Johnson,730,48,81887.82,16303.54,1,73205457,2023-12-20 05:42:51,1.9936
1134,83fe88e6-b805-4d4c-8217-49f4d8432ba1,Davis,672,32,34498.37,125399.6,0,31627928,2023-12-26 21:45:20,0.404
1135,8fede329-d1bc-4aa6-9e48-9c7c3e9425ff,Davis,637,37,25256.97,68150.02,1,67342881,2023-06-20 16:02:05,-0.9731
1136,29180061-83b7-4634-9682-e6b2f1617cb2,Johnson,698,22,139372.41,19705.19,2,14632593,2023-01-31 05:41:04,-2.2703
1137,8ba164b9-b34c-4439-89a0-2543f8ec3f91,Smith,709,24,35708.81,16633.87,1,93731392,2023-10-29 20:46:43,0.235
1138,562d7025-dfaa-4a8a-97c5-f464881c0a95,Wilson,588,35,31500.22,1087.0,2,71429531,2023-12-20 17:34:01,0.989
1139,e7398f86-cf79-44b1-a206-5e8503fecbfd,Smith,679,28,55803.35,25532.32,1,84004227,2023-08-06 22:08:53,1.8638
1140,7d25fad9-b202-4dda-b8fd-3805b14c748e,Smith,685,49,15138.72,44890.59,1,98898422,2023-09-20 12:13:33,-0.2024
1141,a162fb73-6c32-418a-97ac-782974d37804,Miller,635,67,19636.79,19519.79,1,55759636,2023-08-06 22:43:58,1.722
1142,a4b4bb28-33c3-4147-9344-4344f2067d8d,Wilson,718,44,134446.09,72330.09,1,14046149,2023-04-09 10:44:24,-1.3589
1143,6ee6f7e1-82e1-4c36-8efb-3372690deb6c,Davis,642,43,56742.53,31836.15,1,17577181,2023-08-28 12:02:41,-0.3439
1144,629dc3d3-fbd2-4692-bea2-b5c7af5256f9,Johnson,656,54,87618.42,22815.73,2,18792701,2023-08-25 06:58:53,-1.0144
1145,3c0b5cce-2d5d-4942-aaa1-3ac4ed049b18,Miller,641,62,15811.74,167869.63,0,54174248,2023-05-24 21:32:36,0.7921
1146,2ca16c34-bb78-49a8-b51d-cd93e1f3eea7,Brown,650,45,39240.12,18293.83,1,76724575,2023-05-18 05:49:26,-1.3011
1147,69791e2a-96fc-441c-8b42-7ed18ce62ecb,Rodriguez,595,67,177710.9,30475.55,2,49428020,2023-10-08 16:31:55,0.4017
1148,05951990-37d1-487e-89fc-b29d7230cf7d,Garcia,577,19,19187.91,28904.25,1,83278072,2023-09-23 22:40:03,-1.2418
1149,0b5af308-7464-4ee9-905d-757c102e5fe2,Garcia,729,37,8746.04,16560.89,1,89460991,2023-09-04 10:58:52,1.7578
1150,20081471-6db8-4768-8d58-3d9f4874cfe3,Johnson,607,21,35757.99,14713.9,2,82643005,2023-03-28 19:06:29,-0.3743
1151,e3bdaa17-61d3-432c-a2f1-19c9ca953374,Jones,600,30,24536.54,21604.85,1,70863331,2023-10-11 20:35:01,0.378
1152,fe98b626-0f7e-4d1e-9c12-a28260fb3660,Johnson,542,41,8692.51,119810.31,0,83888408,2023-03-16 00:26:43,-1.7888
1153,a19d7274-6d35-4a62-8d21-755c41e94974,Williams,618,65,109709.58,87424.36,1,25320388,2023-06-11 22:49:39,-1.4948
1154,1a44d596-bedd-4b2a-9f40-555f6cda3faf,Garcia,583,55,234015.76,68553.76,2,78549392,2023-11-03 21:47:20,-0.7734
1155,d5ff1828-5609-4fd5-acb0-d1c1453bfb2a,Jones,732,57,42033.91,36650.14,1,58099475,2023-12-22 21:16:58,0.8505
1156,b29aae5a-3b03-4664-8b53-626028f7e229,Brown,700,65,74510.97,42526.6,1,78761966,2023-11-12 21:24:16,0.6591
1157,dcdfce25-1799-4953-91a8-5b2124e762d9,Jones,615,62,97963.38,18647.94,2,67190620,2023-12-15 08:35:56,1.0854
1158,717ab149-4f3a-4ecf-9824-8b7f5b86139f,Garcia,762,46,60362.58,4633.34,1,73844657,2023-03-22 06:10:28,-1.5097
1159,bcb21d1b-a0d2-4925-bf18-96eba8428468,Wilson,699,53,2258.03,24121.91,1,96114482,2023-06-20 02:13:14,0.5069
1160,bf57735a-8d5a-42c2-9de0-62c084f653e2,Davis,633,19,8577.05,41061.21,1,76979703,2023-10-26 14:45:44,-0.5599
1161,110acb79-2d2e-4c55-a125-5b3c3421f74b,Miller,525,58,3681.75,3541.26,2,76242011,2023-08-24 13:52:08,-0.8081
1162,08bd4431-e1ce-461b-931b-3f2f9f0efe8f,Johnson,764,35,496.44,5542.27,1,40768071,2023-10-12 22:32:56,-0.5372
1163,fd7b3c08-d3cf-47bf-8bbd-76cf07005dad,Wilson,580,66,18263.91,18312.1,2,78751776,2023-01-29 05:25:37,-0.1165
1164,089264d4-3f08-4039-a2be-919f54247b62,Jones,567,25,24908.3,27444.71,1,91504865,2023-07-15 06:37:58,0.661
1165,6996b929-de2b-403e-a5e3-8f090311b98d,Wilson,701,32,13789.63,29984.91,1,69722355,2023-02-22 13:09:01,1.1228
1166,e041ce9a-2174-49b5-9487-8b54eccc9469,Rodriguez,771,58,3339.3,7526.04,1,21192442,2023-09-20 21:56:41,0.5211
1167,76e0b6bb-bfeb-4d74-b457-74b8681aabe2,Rodriguez,719,34,37736.57,15357.16,1,65068956,2023-09-10 15:26:47,0.6333
1168,2bb4d9a7-54c7-4596-8db6-2572703112d8,Rodriguez,678,40,15963.41,18200.02,1,51947029,2023-07-30 18:51:28,1.823
1169,f07d0ae8-b4f7-420d-8fb0-4b84f3382c25,Williams,679,19,79490.87,4201.85,2,76013890,2023-08-15 17:58:41,0.6971
1170,ee04dfcd-a517-4724-9452-d77cd48064e8,Rodriguez,692,23,404.26,23680.39,1,74780015,2023-08-04 04:14:56,-0.2138
1171,398cd22f-c068-45cd-809e-572eb118bcaf,Rodriguez,687,46,92425.08,4497.74,2,18894166,2023-05-27 01:07:08,0.5811
1172,f712a6a1-5bcc-47f8-85b1-328de7de56d2,Jones,664,44,154781.7,72933.95,1,45457026,2023-06-04 00:44:57,1.7076
1173,65b09ba5-b935-4694-bce7-06d38890cddb,Miller,655,54,62962.84,29270.29,1,43389303,2023-05-07 20:22:07,-0.8704
1174,da0f13da-ecd8-4112-91d5-2b5d29a55679,Davis,646,66,66146.09,23738.53,2,85178245,2023-10-05 23:28:10,-0.4309
1175,7bb0c8ff-6e92-4445-8281-560ec92aaa59,Wilson,612,51,135574.54,8116.35,2,22320423,2023-06-29 05:57:51,1.4501
1176,3b846df9-f93b-4b11-82e4-6d682f867158,Wilson,635,35,11727.37,15410.06,1,23870550,2023-08-19 07:20:52,-0.2905
1177,1b4222b2-fb0d-4727-871d-e2a7fb866f8d,Wilson,565,59,260750.02,15893.05,2,98703307,2023-10-09 23:47:47,0.7643
1178,4018a897-8d97-4337-a1f3-a6f880916411,Miller,645,27,74246.37,252804.78,0,79942212,2023-07-14 11:59:51,1.2891
1179,215a0104-e4c5-42d1-b48f-85ed99ff005a,Jones,600,55,64835.61,108235.77,0,49227652,2023-04-19 15:54:07,-1.2558
1180,b15b72ff-eb91-4665-8c8b-9ed8b21c5b6b,Smith,594,61,22399.63,922.8,2,47125122,2023-03-16 16:09:54,-0.4084
1181,8469599b-9625-4936-bdae-9683843e6771,Brown,658,34,39458.4,57557.62,1,98084926,2023-02-14 19:45:11,1.2047
1182,6edcb3e4-35d2-4d00-b845-e67f7eb23edd,Garcia,719,30,53053.95,17735.6,1,71027543,2023-12-25 09:13:06,-0.1264
1183,88d43deb-48b8-481f-8159-a0997be87c2d,Garcia,695,69,48424.34,6614.14,1,41989692,2023-06-30 07:10:13,-2.0186
1184,ec92961c-3d36-4ceb-b9c1-f186b9d6d2c3,Miller,571,65,61036.39,73368.91,1,38966569,2023-09-29 08:02:11,-0.51
1185,b1efd3f4-a832-453b-b039-42556d44ce0a,Williams,600,59,4298.69,8466.55,1,91861047,2023-06-10 11:26:20,0.7945
1186,318e8c93-a15c-42ba-82e5-766544b544b3,Garcia,697,44,21975.54,35191.25,1,21546823,2023-12-26 23:05:33,1.2765
1187,728f12ea-2083-4084-ae2f-c163eaaf7e7b,Davis,600,70,28458.06,60007.28,1,16566555,2023-12-24 15:46:06,0.0508
1188,f3d7a18c-9576-46f0-8573-76ebe0d8a117,Rodriguez,638,19,15097.79,48512.78,1,12948918,2023-09-11 02:43:42,0.4838
1189,44a0bfb8-a42c-43d7-8422-89882c8c8e45,Williams,677,51,9475.0,227999.65,0,89414406,2023-09-22 20:18:15,-0.3691
1190,207721a5-f3ad-42d5-be53-47886bb1601e,Miller,601,48,7478.83,92434.63,0,21206949,2023-02-20 18:18:30,0.9032
1191,9c88d81b-9ec2-4190-9f76-130b172c28e4,Smith,655,40,22815.56,89284.58,0,90440172,2023-05-27 22:59:23,1.4252
1192,02260649-9a19-48ab-b67d-07768e6d7844,Garcia,583,24,34005.79,26365.71,1,18099512,2023-02-16 05:04:04,0.7682
1193,7551c252-998e-4f5a-ab79-028a6c4b64e3,Johnson,619,55,3252.34,505.86,2,94605317,2023-01-16 00:13:48,-0.1182
1194,47111f06-7526-4621-9818-7d0c3d39c480,Jones,665,50,146364.53,79548.3,1,24501001,2023-06-24 21:21:02,0.4341
1195,e02e0999-bc59-4326-93bc-08f3b06b6b75,Miller,570,29,72460.29,493490.29,0,11761690,2023-10-27 00:20:12,0.9525
1196,eb5fd7e6-d5fc-44eb-83ae-e4ebb86fc24f,Brown,672,62,65624.65,31240.35,1,44800124,2023-06-04 22:12:50,0.0277
1197,4d7de9d1-cbf9-4008-842b-a12910065d73,Rodriguez,649,29,9489.1,254092.99,0,42681177,2023-03-28 01:08:52,0.8005
